Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2073617,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2098145,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2120676,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2144210,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2167784,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2191522,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2214877,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2238490,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2262013,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2285547,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2309101,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2332700,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2356235,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2380678,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2403322,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2426916,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2451851,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2474047,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2497560,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2521154,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2544728,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2568272,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2593263,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2616214,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2638946,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2662486,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2686050,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2709588,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2733519,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2757195,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2780259,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2803829,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2827407,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2852578,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2875102,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2898078,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2922151,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2945141,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2968712,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2993944,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3015870,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3039383,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3062966,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3086978,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3115357,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3135025,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3157208,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3180792,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3204312,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3227849,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3254332,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3275007,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3298578,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3322064,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3345657,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3369206,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3394559,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3416296,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
