Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4411075959,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
4411075964,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411075970,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4411075975,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411076142,0000049C,false,Rx,0,8,A0,05,0A,00,00,00,00,1E,
4411080211,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411081298,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411081521,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411081737,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411081955,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411082225,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411083257,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411087328,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411087498,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411087719,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411087831,00000423,false,Rx,0,1,20,00,00,00,00,00,00,00,
4411092277,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4411093310,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411097182,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411097187,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411097193,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4411097198,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411097203,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411097484,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
4411097701,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411097922,00000443,false,Rx,0,8,4D,02,00,2F,06,00,00,00,
4411099385,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411099554,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4411099826,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411103734,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411105360,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411105585,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411105804,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411105913,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
4411106397,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411106840,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411107655,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411111394,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411111564,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411111783,00000320,false,Rx,0,8,44,20,04,00,FF,00,00,92,
4411117187,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411117354,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411117631,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411117851,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411118122,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411118285,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4411118563,000003B7,false,Rx,0,8,00,07,00,00,00,00,00,00,
4411119053,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411123405,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411123575,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4411123848,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411127318,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411127868,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411129385,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411129607,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411129880,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411130097,00000024,false,Rx,0,8,02,02,01,F4,62,19,80,20,
4411130428,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411130645,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411132924,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4411137238,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411137244,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411139644,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
4411141438,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411141655,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411141928,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411142091,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4411142362,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411142585,000004C3,false,Rx,0,8,03,00,00,00,00,00,00,00,
4411142859,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411146826,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411147533,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411147751,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4411147968,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411148239,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411150848,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411153455,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411156079,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411156084,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411156089,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411156095,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
4411156099,00000024,false,Rx,0,8,02,02,01,F4,62,19,80,20,
4411158167,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
4411159529,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411159693,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411159913,00000320,false,Rx,0,8,44,20,04,00,FF,00,00,92,
4411163224,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411165509,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411165782,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411166000,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411166270,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411166495,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4411166820,00000024,false,Rx,0,8,02,02,01,F4,62,19,80,20,
4411168335,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411168885,000004C7,false,Rx,0,8,08,00,01,21,00,00,00,00,
4411171523,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411171686,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4411171959,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411172230,000004A0,false,Rx,0,8,06,BA,00,00,00,00,00,00,
4411172448,000004A1,false,Rx,0,8,FE,05,80,DE,80,20,C1,42,
4411172717,000004A2,false,Rx,0,8,19,00,00,C7,00,37,BB,01,
4411173206,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4411177314,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411177487,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411177704,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411177924,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411178195,00000024,false,Rx,0,8,02,01,01,F4,62,19,7F,1E,
4411178412,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411179612,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411183577,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411183740,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411188403,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411189602,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411189874,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411190091,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411190362,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411190586,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411190807,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295299160,000003B1,false,Rx,0,8,00,00,01,01,00,08,00,00,
4295299165,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295299170,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4295299175,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295299289,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295299567,0000044D,false,Rx,0,8,5C,02,00,00,00,00,00,00,
4295300978,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4295304072,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295304672,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295304891,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4295305108,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295305272,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
4295305656,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4295307175,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
4295310652,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295310816,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4295311033,00000320,false,Rx,0,8,44,20,04,00,FF,00,00,92,
4295311740,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4295315405,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295316277,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4295316608,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4295320431,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295320436,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4295320441,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295320447,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295320452,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4295321815,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
4295322738,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295322902,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4295323173,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295324544,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4295327586,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295328783,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295329000,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4295329217,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295329495,00000024,false,Rx,0,8,02,02,01,F4,62,1A,80,21,
4295331778,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295331995,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4295334873,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295335036,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4295335307,000006C0,false,Rx,0,8,E4,00,80,A0,00,00,00,00,
4295340388,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4295340884,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295341101,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4295341371,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295341594,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295341813,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295347026,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295347242,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4295347457,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295348168,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295348332,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4295351157,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295352244,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4295353062,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295353279,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4295353503,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295353666,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
4295353885,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295359241,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4295359246,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295359252,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4295359471,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
4295363379,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4295364525,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295365173,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295365390,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4295365614,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295365835,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295366106,00000024,false,Rx,0,8,02,01,01,F5,62,1A,7F,20,
4295369694,000003F9,false,Rx,0,8,58,5C,56,01,00,00,00,0F,
4295370565,000003FA,false,Rx,0,1,00,00,00,00,00,00,00,00,
4295371106,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295371269,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4295371547,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295371765,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
4295371982,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4295372252,00000499,false,Rx,0,8,D2,00,37,80,00,00,00,00,
4295372475,00000260,false,Rx,0,8,00,00,01,00,00,00,00,6B,
4295374670,0000063B,false,Rx,0,8,16,00,3A,F6,00,00,14,AE,
4295374891,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295380472,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295380478,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4295380483,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295380488,00000394,false,Rx,0,1,00,00,00,00,00,00,00,00,
4295380493,0000049A,false,Rx,0,8,00,13,A1,00,51,40,32,A8,
4295380498,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295380938,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295382514,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
4295383002,0000049B,false,Rx,0,8,00,A0,23,20,08,00,40,00,
4295383219,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295383381,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4295386918,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4295388056,0000049D,false,Rx,0,8,66,65,00,C2,81,0A,37,80,
4295389250,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295389473,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4295389744,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295389961,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295390178,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295390456,000004C1,false,Rx,0,8,01,00,00,00,00,00,00,00,
